13/03/2024,3:21:28 PM,19.8,19.6, -OL, -OL
13/03/2024,3:21:38 PM,19.9,19.7, -OL, -OL
13/03/2024,3:21:48 PM,20.5,19.8, -OL, -OL
13/03/2024,3:21:58 PM,21.2,20.0, -OL, -OL
13/03/2024,3:22:08 PM,21.9,20.1, -OL, -OL
13/03/2024,3:22:18 PM,22.8,20.1, -OL, -OL
13/03/2024,3:22:28 PM,23.6,20.1, -OL, -OL
13/03/2024,3:22:38 PM,24.2,20.2, -OL, -OL
13/03/2024,3:22:48 PM,24.8,20.2, -OL, -OL
13/03/2024,3:22:58 PM,25.6,20.2, -OL, -OL
13/03/2024,3:23:08 PM,26.1,20.2, -OL, -OL
13/03/2024,3:23:18 PM,26.6,20.2, -OL, -OL
13/03/2024,3:23:28 PM,27.1,20.2, -OL, -OL
13/03/2024,3:23:38 PM,27.6,20.2, -OL, -OL
13/03/2024,3:23:48 PM,28.1,20.1, -OL, -OL
13/03/2024,3:23:58 PM,28.4,20.1, -OL, -OL
13/03/2024,3:24:08 PM,28.9,20.1, -OL, -OL
13/03/2024,3:24:18 PM,29.2,20.0, -OL, -OL
13/03/2024,3:24:28 PM,29.7,20.0, -OL, -OL
13/03/2024,3:24:38 PM,29.9,19.9, -OL, -OL
13/03/2024,3:24:48 PM,30.2,19.9, -OL, -OL
13/03/2024,3:24:58 PM,30.5,19.7, -OL, -OL
13/03/2024,3:25:08 PM,30.7,19.7, -OL, -OL
13/03/2024,3:25:18 PM,30.9,19.6, -OL, -OL
13/03/2024,3:25:28 PM,31.2,19.6, -OL, -OL
13/03/2024,3:25:38 PM,31.4,19.5, -OL, -OL
13/03/2024,3:25:48 PM,31.5,19.5, -OL, -OL
13/03/2024,3:25:58 PM,31.8,19.4, -OL, -OL
13/03/2024,3:26:08 PM,31.9,19.4, -OL, -OL
13/03/2024,3:26:18 PM,32.0,19.3, -OL, -OL
13/03/2024,3:26:28 PM,32.2,19.3, -OL, -OL
13/03/2024,3:26:38 PM,32.3,19.1, -OL, -OL
13/03/2024,3:26:48 PM,32.4,19.1, -OL, -OL
13/03/2024,3:26:58 PM,32.5,19.1, -OL, -OL
13/03/2024,3:27:08 PM,32.5,19.1, -OL, -OL
13/03/2024,3:27:18 PM,32.7,19.1, -OL, -OL
13/03/2024,3:27:28 PM,32.8,19.3, -OL, -OL
13/03/2024,3:27:38 PM,32.9,19.4, -OL, -OL
13/03/2024,3:27:48 PM,33.0,19.6, -OL, -OL
13/03/2024,3:27:58 PM,33.0,19.6, -OL, -OL
13/03/2024,3:28:08 PM,33.1,19.7, -OL, -OL
13/03/2024,3:28:18 PM,33.2,19.8, -OL, -OL
13/03/2024,3:28:28 PM,33.4,19.8, -OL, -OL
13/03/2024,3:28:38 PM,33.5,19.9, -OL, -OL
13/03/2024,3:28:48 PM,33.5,19.9, -OL, -OL
13/03/2024,3:28:58 PM,33.7,19.9, -OL, -OL
13/03/2024,3:29:08 PM,33.7,20.1, -OL, -OL
13/03/2024,3:29:18 PM,33.8,20.1, -OL, -OL
13/03/2024,3:29:28 PM,33.8,20.1, -OL, -OL
13/03/2024,3:29:38 PM,33.9,20.1, -OL, -OL
13/03/2024,3:29:48 PM,33.9,20.1, -OL, -OL
13/03/2024,3:29:58 PM,34.0,20.1, -OL, -OL
13/03/2024,3:30:08 PM,34.0,20.1, -OL, -OL
13/03/2024,3:30:18 PM,34.0,20.1, -OL, -OL
13/03/2024,3:30:28 PM,34.1,20.1, -OL, -OL
13/03/2024,3:30:38 PM,34.1,20.1, -OL, -OL
13/03/2024,3:30:48 PM,34.1,20.1, -OL, -OL
13/03/2024,3:30:58 PM,34.1,20.1, -OL, -OL
13/03/2024,3:31:08 PM,34.2,20.1, -OL, -OL
13/03/2024,3:31:18 PM,34.2,20.1, -OL, -OL
