30/04/2024,4:20:27 PM,19.2,19.6, -OL, -OL
30/04/2024,4:20:37 PM,19.6,19.6, -OL, -OL
30/04/2024,4:20:47 PM,21.4,19.9, -OL, -OL
30/04/2024,4:20:57 PM,22.4,20.0, -OL, -OL
30/04/2024,4:21:07 PM,23.3,20.1, -OL, -OL
30/04/2024,4:21:17 PM,24.1,20.2, -OL, -OL
30/04/2024,4:21:27 PM,24.9,20.2, -OL, -OL
30/04/2024,4:21:37 PM,25.5,20.2, -OL, -OL
30/04/2024,4:21:47 PM,26.1,20.2, -OL, -OL
30/04/2024,4:21:57 PM,26.7,20.2, -OL, -OL
30/04/2024,4:22:07 PM,27.2,20.2, -OL, -OL
30/04/2024,4:22:17 PM,27.7,20.2, -OL, -OL
30/04/2024,4:22:27 PM,28.1,20.1, -OL, -OL
30/04/2024,4:22:37 PM,28.6,20.1, -OL, -OL
30/04/2024,4:22:47 PM,28.9,20.1, -OL, -OL
30/04/2024,4:22:57 PM,29.3,20.0, -OL, -OL
30/04/2024,4:23:07 PM,29.7,20.0, -OL, -OL
30/04/2024,4:23:17 PM,29.9,20.0, -OL, -OL
30/04/2024,4:23:27 PM,30.3,20.0, -OL, -OL
30/04/2024,4:23:37 PM,30.7,20.0, -OL, -OL
30/04/2024,4:23:47 PM,30.9,20.0, -OL, -OL
30/04/2024,4:23:57 PM,31.2,20.0, -OL, -OL
30/04/2024,4:24:07 PM,31.4,20.0, -OL, -OL
30/04/2024,4:24:17 PM,31.8,20.0, -OL, -OL
30/04/2024,4:24:27 PM,31.9,20.0, -OL, -OL
30/04/2024,4:24:37 PM,32.2,20.0, -OL, -OL
30/04/2024,4:24:47 PM,32.3,20.0, -OL, -OL
30/04/2024,4:24:57 PM,32.6,20.0, -OL, -OL
30/04/2024,4:25:07 PM,32.8,20.0, -OL, -OL
30/04/2024,4:25:17 PM,32.9,20.0, -OL, -OL
30/04/2024,4:25:27 PM,33.2,20.0, -OL, -OL
30/04/2024,4:25:37 PM,33.3,20.0, -OL, -OL
30/04/2024,4:25:47 PM,33.4,20.1, -OL, -OL
30/04/2024,4:25:57 PM,33.6,20.1, -OL, -OL
30/04/2024,4:26:07 PM,33.7,20.1, -OL, -OL
30/04/2024,4:26:17 PM,33.8,20.1, -OL, -OL
30/04/2024,4:26:27 PM,33.9,20.1, -OL, -OL
30/04/2024,4:26:37 PM,34.1,20.1, -OL, -OL
30/04/2024,4:26:47 PM,34.2,20.1, -OL, -OL
30/04/2024,4:26:57 PM,34.3,20.2, -OL, -OL
30/04/2024,4:27:07 PM,34.4,20.2, -OL, -OL
30/04/2024,4:27:17 PM,34.6,20.2, -OL, -OL
30/04/2024,4:27:27 PM,34.7,20.2, -OL, -OL
30/04/2024,4:27:37 PM,34.7,20.2, -OL, -OL
30/04/2024,4:27:47 PM,34.8,20.2, -OL, -OL
30/04/2024,4:27:57 PM,34.9,20.2, -OL, -OL
30/04/2024,4:28:07 PM,34.9,20.2, -OL, -OL
30/04/2024,4:28:17 PM,35.1,20.2, -OL, -OL
30/04/2024,4:28:27 PM,35.1,20.2, -OL, -OL
30/04/2024,4:28:37 PM,35.2,20.2, -OL, -OL
30/04/2024,4:28:47 PM,35.3,20.2, -OL, -OL
30/04/2024,4:28:57 PM,35.3,20.2, -OL, -OL
30/04/2024,4:29:07 PM,35.4,20.2, -OL, -OL
30/04/2024,4:29:17 PM,35.4,20.2, -OL, -OL
30/04/2024,4:29:27 PM,35.6,20.2, -OL, -OL
30/04/2024,4:29:37 PM,35.6,20.2, -OL, -OL
30/04/2024,4:29:47 PM,35.6,20.2, -OL, -OL
30/04/2024,4:29:57 PM,35.7,20.2, -OL, -OL
30/04/2024,4:30:07 PM,35.7,20.2, -OL, -OL
30/04/2024,4:30:17 PM,35.7,20.2, -OL, -OL
