5/3/24,2:35:03 PM,19.1,19.2, -OL, -OL
5/3/24,2:35:13 PM,19.6,19.1, -OL, -OL
5/3/24,2:35:23 PM,20.1,19.2, -OL, -OL
5/3/24,2:35:33 PM,20.8,19.2, -OL, -OL
5/3/24,2:35:43 PM,21.4,19.2, -OL, -OL
5/3/24,2:35:53 PM,21.7,19.2, -OL, -OL
5/3/24,2:36:03 PM,22.2,19.2, -OL, -OL
5/3/24,2:36:13 PM,22.5,19.2, -OL, -OL
5/3/24,2:36:23 PM,22.8,19.2, -OL, -OL
5/3/24,2:36:33 PM,23.1,19.2, -OL, -OL
5/3/24,2:36:43 PM,23.3,19.1, -OL, -OL
5/3/24,2:36:53 PM,23.6,19.1, -OL, -OL
5/3/24,2:37:03 PM,23.8,19, -OL, -OL
5/3/24,2:37:13 PM,24.1,19, -OL, -OL
5/3/24,2:37:23 PM,24.2,18.8, -OL, -OL
5/3/24,2:37:33 PM,24.3,18.8, -OL, -OL
5/3/24,2:37:43 PM,24.4,18.8, -OL, -OL
5/3/24,2:37:53 PM,24.7,18.8, -OL, -OL
5/3/24,2:38:03 PM,24.8,18.9, -OL, -OL
5/3/24,2:38:13 PM,24.9,18.9, -OL, -OL
5/3/24,2:38:23 PM,25.1,19.1, -OL, -OL
5/3/24,2:38:33 PM,25.2,19.2, -OL, -OL
5/3/24,2:38:43 PM,25.3,19.5, -OL, -OL
5/3/24,2:38:53 PM,25.5,19.6, -OL, -OL
5/3/24,2:39:03 PM,25.6,19.8, -OL, -OL
5/3/24,2:39:13 PM,25.7,19.9, -OL, -OL
5/3/24,2:39:23 PM,25.9,20.1, -OL, -OL
5/3/24,2:39:33 PM,26,20.2, -OL, -OL
5/3/24,2:39:43 PM,26.1,20.2, -OL, -OL
5/3/24,2:39:53 PM,26.2,20.2, -OL, -OL
5/3/24,2:40:03 PM,26.2,20.2, -OL, -OL
5/3/24,2:40:13 PM,26.4,20.2, -OL, -OL
5/3/24,2:40:23 PM,26.4,20.2, -OL, -OL
5/3/24,2:40:33 PM,26.5,20.2, -OL, -OL
5/3/24,2:40:43 PM,26.5,20, -OL, -OL
5/3/24,2:40:53 PM,26.6,20, -OL, -OL
5/3/24,2:41:03 PM,26.6,19.9, -OL, -OL
5/3/24,2:41:13 PM,26.7,19.9, -OL, -OL
5/3/24,2:41:23 PM,26.7,19.8, -OL, -OL
5/3/24,2:41:33 PM,26.7,19.8, -OL, -OL
5/3/24,2:41:43 PM,26.7,19.7, -OL, -OL
5/3/24,2:41:53 PM,26.8,19.6, -OL, -OL
5/3/24,2:42:03 PM,26.8,19.6, -OL, -OL
5/3/24,2:42:13 PM,26.8,19.4, -OL, -OL
5/3/24,2:42:23 PM,26.8,19.4, -OL, -OL
5/3/24,2:42:33 PM,26.8,19.4, -OL, -OL
5/3/24,2:42:43 PM,26.9,19.4, -OL, -OL
5/3/24,2:42:53 PM,26.9,19.4, -OL, -OL
5/3/24,2:43:03 PM,26.9,19.4, -OL, -OL
5/3/24,2:43:13 PM,27.1,19.5, -OL, -OL
5/3/24,2:43:23 PM,27.1,19.5, -OL, -OL
5/3/24,2:43:33 PM,27.1,19.6, -OL, -OL
5/3/24,2:43:43 PM,27.2,19.6, -OL, -OL
5/3/24,2:43:53 PM,27.2,19.6, -OL, -OL
5/3/24,2:44:03 PM,27.2,19.7, -OL, -OL
5/3/24,2:44:13 PM,27.3,19.7, -OL, -OL
5/3/24,2:44:23 PM,27.3,19.7, -OL, -OL
5/3/24,2:44:33 PM,27.3,19.7, -OL, -OL
5/3/24,2:44:43 PM,27.3,19.9, -OL, -OL
5/3/24,2:44:53 PM,27.4,19.9, -OL, -OL
