5/3/24,4:28:16 PM,19.1,19, -OL, -OL
5/3/24,4:28:26 PM,19.4,19.2, -OL, -OL
5/3/24,4:28:36 PM,19.7,19.3, -OL, -OL
5/3/24,4:28:46 PM,20,19.3, -OL, -OL
5/3/24,4:28:56 PM,20.3,19.3, -OL, -OL
5/3/24,4:29:06 PM,20.6,19.3, -OL, -OL
5/3/24,4:29:16 PM,20.9,19.3, -OL, -OL
5/3/24,4:29:26 PM,21.2,19.3, -OL, -OL
5/3/24,4:29:36 PM,21.5,19.3, -OL, -OL
5/3/24,4:29:46 PM,21.6,19.3, -OL, -OL
5/3/24,4:29:56 PM,21.9,19.3, -OL, -OL
5/3/24,4:30:06 PM,22.1,19.3, -OL, -OL
5/3/24,4:30:16 PM,22.3,19.2, -OL, -OL
5/3/24,4:30:26 PM,22.4,19.2, -OL, -OL
5/3/24,4:30:36 PM,22.6,19.2, -OL, -OL
5/3/24,4:30:46 PM,22.7,19.2, -OL, -OL
5/3/24,4:30:56 PM,22.8,19.2, -OL, -OL
5/3/24,4:31:06 PM,23,19.2, -OL, -OL
5/3/24,4:31:16 PM,23.1,19.2, -OL, -OL
5/3/24,4:31:26 PM,23.3,19.3, -OL, -OL
5/3/24,4:31:36 PM,23.4,19.4, -OL, -OL
5/3/24,4:31:46 PM,23.4,19.4, -OL, -OL
5/3/24,4:31:56 PM,23.5,19.6, -OL, -OL
5/3/24,4:32:06 PM,23.6,19.7, -OL, -OL
5/3/24,4:32:16 PM,23.8,19.7, -OL, -OL
5/3/24,4:32:26 PM,23.8,19.8, -OL, -OL
5/3/24,4:32:36 PM,23.9,19.8, -OL, -OL
5/3/24,4:32:46 PM,24,19.9, -OL, -OL
5/3/24,4:32:56 PM,24,19.9, -OL, -OL
5/3/24,4:33:06 PM,24.1,19.9, -OL, -OL
5/3/24,4:33:16 PM,24.1,19.9, -OL, -OL
5/3/24,4:33:26 PM,24.2,19.9, -OL, -OL
5/3/24,4:33:36 PM,24.2,19.9, -OL, -OL
5/3/24,4:33:46 PM,24.3,19.8, -OL, -OL
5/3/24,4:33:56 PM,24.3,19.8, -OL, -OL
5/3/24,4:34:06 PM,24.3,19.6, -OL, -OL
5/3/24,4:34:16 PM,24.3,19.6, -OL, -OL
5/3/24,4:34:26 PM,24.5,19.5, -OL, -OL
5/3/24,4:34:36 PM,24.5,19.5, -OL, -OL
5/3/24,4:34:46 PM,24.5,19.5, -OL, -OL
5/3/24,4:34:56 PM,24.5,19.4, -OL, -OL
5/3/24,4:35:06 PM,24.5,19.4, -OL, -OL
5/3/24,4:35:16 PM,24.5,19.4, -OL, -OL
5/3/24,4:35:26 PM,24.5,19.4, -OL, -OL
5/3/24,4:35:36 PM,24.6,19.4, -OL, -OL
5/3/24,4:35:46 PM,24.6,19.4, -OL, -OL
5/3/24,4:35:56 PM,24.6,19.4, -OL, -OL
5/3/24,4:36:06 PM,24.6,19.4, -OL, -OL
5/3/24,4:36:16 PM,24.6,19.4, -OL, -OL
5/3/24,4:36:26 PM,24.6,19.4, -OL, -OL
5/3/24,4:36:36 PM,24.6,19.4, -OL, -OL
5/3/24,4:36:46 PM,24.6,19.4, -OL, -OL
5/3/24,4:36:56 PM,24.7,19.4, -OL, -OL
5/3/24,4:37:06 PM,24.7,19.4, -OL, -OL
5/3/24,4:37:16 PM,24.7,19.4, -OL, -OL
5/3/24,4:37:26 PM,24.7,19.4, -OL, -OL
5/3/24,4:37:36 PM,24.7,19.4, -OL, -OL
5/3/24,4:37:46 PM,24.7,19.5, -OL, -OL
5/3/24,4:37:56 PM,24.7,19.5, -OL, -OL
5/3/24,4:38:06 PM,24.7,19.5, -OL, -OL
