11/3/24,3:10:42 PM,20,19.4, -OL, -OL
11/3/24,3:10:52 PM,20.8,20.2, -OL, -OL
11/3/24,3:11:02 PM,21.6,20.6, -OL, -OL
11/3/24,3:11:12 PM,22.4,20.8, -OL, -OL
11/3/24,3:11:22 PM,23.1,20.9, -OL, -OL
11/3/24,3:11:32 PM,23.7,21.1, -OL, -OL
11/3/24,3:11:42 PM,24.4,21.1, -OL, -OL
11/3/24,3:11:52 PM,24.7,21.1, -OL, -OL
11/3/24,3:12:02 PM,25.3,21.1, -OL, -OL
11/3/24,3:12:12 PM,25.7,21.1, -OL, -OL
11/3/24,3:12:22 PM,26.1,21.1, -OL, -OL
11/3/24,3:12:32 PM,26.4,21.1, -OL, -OL
11/3/24,3:12:42 PM,26.7,21.1, -OL, -OL
11/3/24,3:12:52 PM,26.9,21.1, -OL, -OL
11/3/24,3:13:02 PM,27.2,20.9, -OL, -OL
11/3/24,3:13:12 PM,27.3,20.9, -OL, -OL
11/3/24,3:13:22 PM,27.5,20.8, -OL, -OL
11/3/24,3:13:32 PM,27.6,20.8, -OL, -OL
11/3/24,3:13:42 PM,27.8,20.8, -OL, -OL
11/3/24,3:13:52 PM,27.9,20.7, -OL, -OL
11/3/24,3:14:02 PM,28,20.7, -OL, -OL
11/3/24,3:14:12 PM,28.1,20.6, -OL, -OL
11/3/24,3:14:22 PM,28.1,20.6, -OL, -OL
11/3/24,3:14:32 PM,28.3,20.4, -OL, -OL
11/3/24,3:14:42 PM,28.3,20.4, -OL, -OL
11/3/24,3:14:52 PM,28.4,20.3, -OL, -OL
11/3/24,3:15:02 PM,28.4,20.3, -OL, -OL
11/3/24,3:15:12 PM,28.4,20.2, -OL, -OL
11/3/24,3:15:22 PM,28.5,20.2, -OL, -OL
11/3/24,3:15:32 PM,28.5,20.2, -OL, -OL
11/3/24,3:15:42 PM,28.5,20.1, -OL, -OL
11/3/24,3:15:52 PM,28.5,20.1, -OL, -OL
11/3/24,3:16:02 PM,28.6,20.1, -OL, -OL
11/3/24,3:16:12 PM,28.6,20.1, -OL, -OL
11/3/24,3:16:22 PM,28.6,20, -OL, -OL
11/3/24,3:16:32 PM,28.6,20, -OL, -OL
11/3/24,3:16:42 PM,28.6,20, -OL, -OL
11/3/24,3:16:52 PM,28.6,20, -OL, -OL
11/3/24,3:17:02 PM,28.6,20, -OL, -OL
11/3/24,3:17:12 PM,28.6,20, -OL, -OL
11/3/24,3:17:22 PM,28.6,20, -OL, -OL
11/3/24,3:17:32 PM,28.6,20, -OL, -OL
11/3/24,3:17:42 PM,28.6,20, -OL, -OL
11/3/24,3:17:52 PM,28.6,20, -OL, -OL
11/3/24,3:18:02 PM,28.7,20, -OL, -OL
11/3/24,3:18:12 PM,28.7,20, -OL, -OL
11/3/24,3:18:22 PM,28.7,20, -OL, -OL
11/3/24,3:18:32 PM,28.7,20, -OL, -OL
11/3/24,3:18:42 PM,28.7,20, -OL, -OL
11/3/24,3:18:52 PM,28.7,20, -OL, -OL
11/3/24,3:19:02 PM,28.7,20, -OL, -OL
11/3/24,3:19:12 PM,28.7,20, -OL, -OL
11/3/24,3:19:22 PM,28.7,20, -OL, -OL
11/3/24,3:19:32 PM,28.7,20, -OL, -OL
11/3/24,3:19:42 PM,28.7,20, -OL, -OL
11/3/24,3:19:52 PM,28.7,20, -OL, -OL
11/3/24,3:20:02 PM,28.7,20, -OL, -OL
11/3/24,3:20:12 PM,28.7,20, -OL, -OL
11/3/24,3:20:22 PM,28.7,20, -OL, -OL
11/3/24,3:20:32 PM,28.7,20, -OL, -OL
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
