10/04/2024,2:47:43 PM,19.4,19.6, -OL, -OL
10/04/2024,2:47:53 PM,19.6,19.4, -OL, -OL
10/04/2024,2:48:03 PM,20.0,19.4, -OL, -OL
10/04/2024,2:48:13 PM,20.3,19.4, -OL, -OL
10/04/2024,2:48:23 PM,20.7,19.4, -OL, -OL
10/04/2024,2:48:33 PM,20.9,19.4, -OL, -OL
10/04/2024,2:48:43 PM,21.3,19.4, -OL, -OL
10/04/2024,2:48:53 PM,21.7,19.4, -OL, -OL
10/04/2024,2:49:03 PM,22.0,19.4, -OL, -OL
10/04/2024,2:49:13 PM,22.1,19.4, -OL, -OL
10/04/2024,2:49:23 PM,22.4,19.4, -OL, -OL
10/04/2024,2:49:33 PM,22.7,19.4, -OL, -OL
10/04/2024,2:49:43 PM,22.9,19.3, -OL, -OL
10/04/2024,2:49:53 PM,23.1,19.3, -OL, -OL
10/04/2024,2:50:03 PM,23.4,19.2, -OL, -OL
10/04/2024,2:50:13 PM,23.7,19.2, -OL, -OL
10/04/2024,2:50:23 PM,23.9,19.1, -OL, -OL
10/04/2024,2:50:33 PM,24.2,19.1, -OL, -OL
10/04/2024,2:50:43 PM,24.3,18.9, -OL, -OL
10/04/2024,2:50:53 PM,24.4,18.9, -OL, -OL
10/04/2024,2:51:03 PM,24.6,18.9, -OL, -OL
10/04/2024,2:51:13 PM,24.7,18.9, -OL, -OL
10/04/2024,2:51:23 PM,24.8,18.9, -OL, -OL
10/04/2024,2:51:33 PM,24.9,18.9, -OL, -OL
10/04/2024,2:51:43 PM,25.1,18.9, -OL, -OL
10/04/2024,2:51:53 PM,25.3,18.9, -OL, -OL
10/04/2024,2:52:03 PM,25.5,18.9, -OL, -OL
10/04/2024,2:52:13 PM,25.5,19.1, -OL, -OL
10/04/2024,2:52:23 PM,25.6,19.1, -OL, -OL
10/04/2024,2:52:33 PM,25.7,19.1, -OL, -OL
10/04/2024,2:52:43 PM,25.9,19.1, -OL, -OL
10/04/2024,2:52:53 PM,26.0,19.2, -OL, -OL
10/04/2024,2:53:03 PM,26.1,19.2, -OL, -OL
10/04/2024,2:53:13 PM,26.1,19.2, -OL, -OL
10/04/2024,2:53:23 PM,26.2,19.2, -OL, -OL
10/04/2024,2:53:33 PM,26.4,19.2, -OL, -OL
10/04/2024,2:53:43 PM,26.4,19.2, -OL, -OL
10/04/2024,2:53:53 PM,26.5,19.3, -OL, -OL
10/04/2024,2:54:03 PM,26.6,19.3, -OL, -OL
10/04/2024,2:54:13 PM,26.6,19.3, -OL, -OL
10/04/2024,2:54:23 PM,26.7,19.3, -OL, -OL
10/04/2024,2:54:33 PM,26.7,19.3, -OL, -OL
10/04/2024,2:54:43 PM,26.8,19.3, -OL, -OL
10/04/2024,2:54:53 PM,26.8,19.3, -OL, -OL
10/04/2024,2:55:03 PM,26.9,19.3, -OL, -OL
10/04/2024,2:55:13 PM,26.9,19.4, -OL, -OL
10/04/2024,2:55:23 PM,27.1,19.4, -OL, -OL
10/04/2024,2:55:33 PM,27.1,19.4, -OL, -OL
10/04/2024,2:55:43 PM,27.1,19.4, -OL, -OL
10/04/2024,2:55:53 PM,27.2,19.4, -OL, -OL
10/04/2024,2:56:03 PM,27.2,19.4, -OL, -OL
10/04/2024,2:56:13 PM,27.3,19.4, -OL, -OL
10/04/2024,2:56:23 PM,27.3,19.4, -OL, -OL
10/04/2024,2:56:33 PM,27.3,19.4, -OL, -OL
10/04/2024,2:56:43 PM,27.4,19.4, -OL, -OL
10/04/2024,2:56:53 PM,27.4,19.5, -OL, -OL
10/04/2024,2:57:03 PM,27.6,19.5, -OL, -OL
10/04/2024,2:57:13 PM,27.6,19.5, -OL, -OL
10/04/2024,2:57:23 PM,27.6,19.5, -OL, -OL
10/04/2024,2:57:33 PM,27.6,19.5, -OL, -OL
