5/3/24,3:02:07 PM,18.9,19, -OL, -OL
5/3/24,3:02:17 PM,19.1,19.7, -OL, -OL
5/3/24,3:02:27 PM,19.4,20.2, -OL, -OL
5/3/24,3:02:37 PM,19.9,20.5, -OL, -OL
5/3/24,3:02:47 PM,20.2,20.7, -OL, -OL
5/3/24,3:02:57 PM,20.5,20.8, -OL, -OL
5/3/24,3:03:07 PM,20.8,20.8, -OL, -OL
5/3/24,3:03:17 PM,20.9,20.8, -OL, -OL
5/3/24,3:03:27 PM,21.2,20.9, -OL, -OL
5/3/24,3:03:37 PM,21.3,20.9, -OL, -OL
5/3/24,3:03:47 PM,21.4,20.9, -OL, -OL
5/3/24,3:03:57 PM,21.7,20.9, -OL, -OL
5/3/24,3:04:07 PM,21.8,20.8, -OL, -OL
5/3/24,3:04:17 PM,21.9,20.8, -OL, -OL
5/3/24,3:04:27 PM,21.9,20.7, -OL, -OL
5/3/24,3:04:37 PM,22.1,20.7, -OL, -OL
5/3/24,3:04:47 PM,22.2,20.6, -OL, -OL
5/3/24,3:04:57 PM,22.2,20.6, -OL, -OL
5/3/24,3:05:07 PM,22.3,20.4, -OL, -OL
5/3/24,3:05:17 PM,22.3,20.3, -OL, -OL
5/3/24,3:05:27 PM,22.4,20.3, -OL, -OL
5/3/24,3:05:37 PM,22.4,20.2, -OL, -OL
5/3/24,3:05:47 PM,22.4,20.2, -OL, -OL
5/3/24,3:05:57 PM,22.6,20.1, -OL, -OL
5/3/24,3:06:07 PM,22.6,20.1, -OL, -OL
5/3/24,3:06:17 PM,22.6,19.9, -OL, -OL
5/3/24,3:06:27 PM,22.6,19.9, -OL, -OL
5/3/24,3:06:37 PM,22.7,19.8, -OL, -OL
5/3/24,3:06:47 PM,22.7,19.8, -OL, -OL
5/3/24,3:06:57 PM,22.7,19.8, -OL, -OL
5/3/24,3:07:07 PM,22.7,19.8, -OL, -OL
5/3/24,3:07:17 PM,22.7,19.8, -OL, -OL
5/3/24,3:07:27 PM,22.7,19.8, -OL, -OL
5/3/24,3:07:37 PM,22.8,19.8, -OL, -OL
5/3/24,3:07:47 PM,22.8,19.7, -OL, -OL
5/3/24,3:07:57 PM,22.8,19.7, -OL, -OL
5/3/24,3:08:07 PM,22.8,19.7, -OL, -OL
5/3/24,3:08:17 PM,22.8,19.7, -OL, -OL
5/3/24,3:08:27 PM,22.8,19.7, -OL, -OL
5/3/24,3:08:37 PM,22.8,19.7, -OL, -OL
5/3/24,3:08:47 PM,22.8,19.7, -OL, -OL
5/3/24,3:08:57 PM,22.8,19.7, -OL, -OL
5/3/24,3:09:07 PM,22.9,19.7, -OL, -OL
5/3/24,3:09:17 PM,22.9,19.7, -OL, -OL
5/3/24,3:09:27 PM,22.9,19.7, -OL, -OL
5/3/24,3:09:37 PM,22.9,19.7, -OL, -OL
5/3/24,3:09:47 PM,22.9,19.7, -OL, -OL
5/3/24,3:09:57 PM,22.9,19.7, -OL, -OL
5/3/24,3:10:07 PM,22.9,19.7, -OL, -OL
5/3/24,3:10:17 PM,22.9,19.7, -OL, -OL
5/3/24,3:10:27 PM,22.9,19.7, -OL, -OL
5/3/24,3:10:37 PM,22.9,19.7, -OL, -OL
5/3/24,3:10:47 PM,22.9,19.7, -OL, -OL
5/3/24,3:10:57 PM,23,19.7, -OL, -OL
5/3/24,3:11:07 PM,23,19.7, -OL, -OL
5/3/24,3:11:17 PM,23,19.7, -OL, -OL
5/3/24,3:11:27 PM,23,19.7, -OL, -OL
5/3/24,3:11:37 PM,23,19.7, -OL, -OL
5/3/24,3:11:47 PM,23,19.7, -OL, -OL
5/3/24,3:11:57 PM,23,19.7, -OL, -OL
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
