14/03/2024,4:55:51 PM,19.9,19.3, -OL, -OL
14/03/2024,4:56:01 PM,20.0,19.3, -OL, -OL
14/03/2024,4:56:11 PM,20.5,19.4, -OL, -OL
14/03/2024,4:56:21 PM,20.8,19.6, -OL, -OL
14/03/2024,4:56:31 PM,21.1,19.6, -OL, -OL
14/03/2024,4:56:41 PM,21.3,19.7, -OL, -OL
14/03/2024,4:56:51 PM,21.5,19.7, -OL, -OL
14/03/2024,4:57:01 PM,21.6,19.7, -OL, -OL
14/03/2024,4:57:11 PM,21.9,19.8, -OL, -OL
14/03/2024,4:57:21 PM,22.0,19.8, -OL, -OL
14/03/2024,4:57:31 PM,22.2,19.8, -OL, -OL
14/03/2024,4:57:41 PM,22.3,19.9, -OL, -OL
14/03/2024,4:57:51 PM,22.4,19.9, -OL, -OL
14/03/2024,4:58:01 PM,22.6,19.9, -OL, -OL
14/03/2024,4:58:11 PM,22.7,19.9, -OL, -OL
14/03/2024,4:58:21 PM,22.8,20.0, -OL, -OL
14/03/2024,4:58:31 PM,22.8,20.0, -OL, -OL
14/03/2024,4:58:41 PM,22.9,20.0, -OL, -OL
14/03/2024,4:58:51 PM,23.1,20.0, -OL, -OL
14/03/2024,4:59:01 PM,23.1,20.0, -OL, -OL
14/03/2024,4:59:11 PM,23.2,20.0, -OL, -OL
14/03/2024,4:59:21 PM,23.3,20.0, -OL, -OL
14/03/2024,4:59:31 PM,23.3,20.0, -OL, -OL
14/03/2024,4:59:41 PM,23.4,20.0, -OL, -OL
14/03/2024,4:59:51 PM,23.4,20.0, -OL, -OL
14/03/2024,5:00:01 PM,23.6,20.0, -OL, -OL
14/03/2024,5:00:11 PM,23.6,20.1, -OL, -OL
14/03/2024,5:00:21 PM,23.7,20.1, -OL, -OL
14/03/2024,5:00:31 PM,23.7,20.1, -OL, -OL
14/03/2024,5:00:41 PM,23.8,20.1, -OL, -OL
14/03/2024,5:00:51 PM,23.8,20.1, -OL, -OL
14/03/2024,5:01:01 PM,23.9,20.1, -OL, -OL
14/03/2024,5:01:11 PM,23.9,20.1, -OL, -OL
14/03/2024,5:01:21 PM,24.0,20.1, -OL, -OL
14/03/2024,5:01:31 PM,24.0,20.1, -OL, -OL
14/03/2024,5:01:41 PM,24.0,20.1, -OL, -OL
14/03/2024,5:01:51 PM,24.1,20.1, -OL, -OL
14/03/2024,5:02:01 PM,24.1,20.1, -OL, -OL
14/03/2024,5:02:11 PM,24.1,20.1, -OL, -OL
14/03/2024,5:02:21 PM,24.1,20.0, -OL, -OL
14/03/2024,5:02:31 PM,24.3,20.0, -OL, -OL
14/03/2024,5:02:41 PM,24.3,20.0, -OL, -OL
14/03/2024,5:02:51 PM,24.3,20.0, -OL, -OL
14/03/2024,5:03:01 PM,24.4,20.0, -OL, -OL
14/03/2024,5:03:11 PM,24.4,20.0, -OL, -OL
14/03/2024,5:03:21 PM,24.4,20.0, -OL, -OL
14/03/2024,5:03:31 PM,24.4,20.0, -OL, -OL
14/03/2024,5:03:41 PM,24.5,20.0, -OL, -OL
14/03/2024,5:03:51 PM,24.5,20.0, -OL, -OL
14/03/2024,5:04:01 PM,24.5,20.0, -OL, -OL
14/03/2024,5:04:11 PM,24.5,20.0, -OL, -OL
14/03/2024,5:04:21 PM,24.5,20.0, -OL, -OL
14/03/2024,5:04:31 PM,24.5,20.0, -OL, -OL
14/03/2024,5:04:41 PM,24.6,20.0, -OL, -OL
14/03/2024,5:04:51 PM,24.6,20.0, -OL, -OL
14/03/2024,5:05:01 PM,24.6,20.0, -OL, -OL
14/03/2024,5:05:11 PM,24.6,20.0, -OL, -OL
14/03/2024,5:05:21 PM,24.6,20.0, -OL, -OL
14/03/2024,5:05:31 PM,24.6,20.0, -OL, -OL
14/03/2024,5:05:41 PM,24.7,20.0, -OL, -OL
