30/04/2024,6:31:38 PM,19.6,19.2, -OL, -OL
30/04/2024,6:31:48 PM,19.9,19.2, -OL, -OL
30/04/2024,6:31:58 PM,20.2,19.2, -OL, -OL
30/04/2024,6:32:08 PM,20.4,19.2, -OL, -OL
30/04/2024,6:32:18 PM,20.6,19.2, -OL, -OL
30/04/2024,6:32:28 PM,20.9,19.2, -OL, -OL
30/04/2024,6:32:38 PM,21.0,19.2, -OL, -OL
30/04/2024,6:32:48 PM,21.1,19.2, -OL, -OL
30/04/2024,6:32:58 PM,21.4,19.2, -OL, -OL
30/04/2024,6:33:08 PM,21.5,19.2, -OL, -OL
30/04/2024,6:33:18 PM,21.5,19.2, -OL, -OL
30/04/2024,6:33:28 PM,21.7,19.2, -OL, -OL
30/04/2024,6:33:38 PM,21.8,19.2, -OL, -OL
30/04/2024,6:33:48 PM,21.9,19.2, -OL, -OL
30/04/2024,6:33:58 PM,22.0,19.3, -OL, -OL
30/04/2024,6:34:08 PM,22.2,19.3, -OL, -OL
30/04/2024,6:34:18 PM,22.3,19.3, -OL, -OL
30/04/2024,6:34:28 PM,22.3,19.3, -OL, -OL
30/04/2024,6:34:38 PM,22.4,19.3, -OL, -OL
30/04/2024,6:34:48 PM,22.5,19.3, -OL, -OL
30/04/2024,6:34:58 PM,22.5,19.5, -OL, -OL
30/04/2024,6:35:08 PM,22.7,19.5, -OL, -OL
30/04/2024,6:35:18 PM,22.8,19.5, -OL, -OL
30/04/2024,6:35:28 PM,22.8,19.5, -OL, -OL
30/04/2024,6:35:38 PM,22.9,19.5, -OL, -OL
30/04/2024,6:35:48 PM,22.9,19.5, -OL, -OL
30/04/2024,6:35:58 PM,23.0,19.5, -OL, -OL
30/04/2024,6:36:08 PM,23.1,19.6, -OL, -OL
30/04/2024,6:36:18 PM,23.1,19.6, -OL, -OL
30/04/2024,6:36:28 PM,23.3,19.6, -OL, -OL
30/04/2024,6:36:38 PM,23.3,19.6, -OL, -OL
30/04/2024,6:36:48 PM,23.4,19.6, -OL, -OL
30/04/2024,6:36:58 PM,23.4,19.6, -OL, -OL
30/04/2024,6:37:08 PM,23.4,19.6, -OL, -OL
30/04/2024,6:37:18 PM,23.5,19.6, -OL, -OL
30/04/2024,6:37:28 PM,23.6,19.6, -OL, -OL
30/04/2024,6:37:38 PM,23.6,19.7, -OL, -OL
30/04/2024,6:37:48 PM,23.6,19.7, -OL, -OL
30/04/2024,6:37:58 PM,23.7,19.7, -OL, -OL
30/04/2024,6:38:08 PM,23.7,19.7, -OL, -OL
30/04/2024,6:38:18 PM,23.8,19.7, -OL, -OL
30/04/2024,6:38:28 PM,23.8,19.7, -OL, -OL
30/04/2024,6:38:38 PM,24.0,19.7, -OL, -OL
30/04/2024,6:38:48 PM,24.0,19.7, -OL, -OL
30/04/2024,6:38:58 PM,24.0,19.7, -OL, -OL
30/04/2024,6:39:08 PM,24.1,19.7, -OL, -OL
30/04/2024,6:39:18 PM,24.1,19.7, -OL, -OL
30/04/2024,6:39:28 PM,24.2,19.8, -OL, -OL
30/04/2024,6:39:38 PM,24.2,19.8, -OL, -OL
30/04/2024,6:39:48 PM,24.2,19.8, -OL, -OL
30/04/2024,6:39:58 PM,24.3,19.8, -OL, -OL
30/04/2024,6:40:08 PM,24.3,19.8, -OL, -OL
30/04/2024,6:40:18 PM,24.5,19.8, -OL, -OL
30/04/2024,6:40:28 PM,24.5,19.8, -OL, -OL
30/04/2024,6:40:38 PM,24.5,19.8, -OL, -OL
30/04/2024,6:40:48 PM,24.5,19.8, -OL, -OL
30/04/2024,6:40:58 PM,24.6,19.9, -OL, -OL
30/04/2024,6:41:08 PM,24.6,19.9, -OL, -OL
30/04/2024,6:41:18 PM,24.6,19.9, -OL, -OL
30/04/2024,6:41:28 PM,24.6,19.9, -OL, -OL
